"gid";"the_geom";"incidenttyppe";"locationname";"locaccuraccy";"incidenttime";"description";"source";"sourcerate";"sourcerateinfo";"remarks";"noaffectedperson";"nopersonkilled";"nopersoninjured";"coordinate"
168;"0101000020E610000094250832FBC15040BD43162FBDF13840";12;"Kati Pahari";"Estimate";"2012-11-22 19:00:00";"Shooting";"";"F";6;"";1;0;1;"POINT(67.030956752735 24.944292967735)"
170;"0101000020E6100000B225088290BE5040892340B2ECEA3840";5;"Baldia Town";"Estimate";"2012-11-22 21:00:00";"IED find";"";"F";6;"Similar device as found earlier on the 22nd in Orangi Town";0;0;0;"POINT(66.977570064503 24.917674198779)"
172;"0101000020E610000013E9389BCDBB50404F1261FB0FF63840";10;"Yusuf Goth";"Estimate";"2012-11-23 01:00:00";"Robbery";"";"F";6;"";1;0;1;"POINT(66.934424214913 24.961181365203)"
182;"0101000020E6100000F4E8386BAEBF50407780FDA8BBD93840";4;"Lyari, Khadda Market, Kharadar";"Estimate";"2012-11-25 21:15:00";"IED explosion";"";"F";6;"Handgrenade";1;0;1;"POINT(66.995020680977 24.850519716158)"
181;"0101000020E6100000D1F3422F92CC50404CB6ED5DE6E33840";4;"Malir, Mohabbat Nagar";"Estimate";"2012-11-26 10:30:00";"IED explosion";"";"F";6;"An RCIED exploded hidden in a cement block ";4;1;4;"POINT(67.19642240084 24.890233870063)"
184;"0101000020E610000034E938BBC9CC5040172EC01842E73840";6;"Malir Town";"Estimate";"2012-11-26 12:15:00";"IED threat";"";"F";6;"BDU deployed; nothing found";0;0;0;"POINT(67.199812703683 24.903352305335)"
186;"0101000020E6100000BBE8385F2DC550408D412C5054D43840";6;"Qayyumabad, bus stop";"Estimate";"2012-11-26 16:30:00";"IED threat";"";"F";6;"";0;0;0;"POINT(67.080894284797 24.829411516957)"
188;"0101000020E6100000E5344332BCC15040D06CA4F051E53840";12;"Gulbahar";"Estimate";"2012-11-26 22:00:00";"Shooting";"";"F";6;"";2;1;1;"POINT(67.027111592895 24.895781555312)"
189;"0101000020E6100000D934431E37C45040D25784D6E8E63840";12;"Essa Nagri";"Estimate";"2012-11-27 01:00:00";"Shooting";"";"F";6;"";1;0;1;"POINT(67.065864148742 24.90199032527)"
190;"0101000020E610000029F114CD5EC35040532BB36758DF3840";12;"PECH, Al Falah Rd";"Estimate";"2012-11-26 23:00:00";"Shooting";"";"F";6;"";1;0;1;"POINT(67.0526612 24.872442704432)"
191;"0101000020E610000052F1143165C25040F112D6A229E03840";2;"MA Jinnah Rd between Guru Mandir and Numaish";"Estimate";"2012-11-27 08:30:00";"Demonstration";"";"F";6;"Demonstration against CNG shortage and loadshedding";0;0;0;"POINT(67.037426252796 24.875635316147)"
187;"0101000020E6100000DD384D0A12C15040BA1B22B342E23840";14;"Golimar";"Estimate";"2012-11-26 21:30:00";"Shooting";"";"F";6;"";1;0;1;"POINT(67.016726088917 24.883830257251)"
194;"0101000020E610000031F1149906C8504082FF988424E33840";2;"Sharah-e-Faisal";"Estimate";"2012-11-27 11:00:00";"Demonstration";"";"F";6;"CNG protest; road blocked";0;0;0;"POINT(67.125402708484 24.887275969842)"
195;"0101000020E610000070E938D352C250409431752E81DF3840";2;"Numaish Chowrangi";"Accurate";"2012-11-27 18:00:00";"Demonstration";"";"F";6;"";0;0;0;"POINT(67.036305242136 24.873064902889)"
196;"0101000020E610000071E938C333C45040ADD645D75DFC3840";12;"North Karachi, Powerhouse Chowrangi";"Estimate";"2012-11-27 18:00:00";"Shooting";"";"";6;"";1;1;0;"POINT(67.065659337595 24.985806898642)"
197;"0101000020E6100000CBE9382BAEC3504020448A4138F43840";12;"North Nazimabad, Sakhi Hasan Chowk";"Estimate";"2012-11-27 19:00:00";"Shooting";"";"F";6;"";1;0;1;"POINT(67.057505422191 24.953983398682)"
198;"0101000020E61000008BE9385301C1504087FB794EF7DB3840";12;"Jamia Cloth Market";"Estimate";"2012-11-27 21:00:00";"Shooting";"";"F";6;"";1;1;0;"POINT(67.015705876902 24.859242348462)"
199;"0101000020E61000000ADBC0BD53C450401D7543EB05E73840";12;"Essa Nagri";"Estimate";"2012-11-27 23:00:00";"Shooting";"Chippa";"F";6;"";1;1;0;"POINT(67.067611158691 24.902434066743)"
200;"0101000020E610000049DBC02D6DC25040412B2FB79AF63840";12;"Manghopir";"Estimate";"2012-11-28 00:00:00";"Shooting";"";"F";6;"";2;2;0;"POINT(67.037913740479 24.963298272148)"
201;"0101000020E61000001DDBC0AD9FC450406D19BAB144FF3840";12;"New Karachi";"Estimate";"2012-11-28 01:00:00";"Shooting";"";"F";6;"Police officer";1;1;0;"POINT(67.072246015869 24.997141941008)"
203;"0101000020E610000011E938F7B8BF5040302FC01842E73840";12;"SITE";"Estimate";"2012-11-28 10:45:00";"Shooting";"";"F";6;"";1;1;0;"POINT(66.995664411141 24.903352305336)"
204;"0101000020E610000011E938F7C8CD5040C9157671E5DB3840";12;"Quaidabad";"Estimate";"2012-11-28 10:15:00";"Shooting";"";"F";6;"";1;1;0;"POINT(67.215390973641 24.858969775514)"
202;"0101000020E610000047EB42ABF7BD5040DD4674A8AEEB3840";10;"Baldia Town";"Estimate";"2012-11-28 07:45:00";"Robbery";"";"F";1;"";5;0;5;"POINT(66.968241515494 24.92063381995)"
205;"0101000020E6100000DBE8388F98C05040816D7273C9EF3840";12;"Orangi Town, Ali Garh Market";"Estimate";"2012-11-28 15:30:00";"Shooting";"Chhipa";"F";6;"";4;1;3;"POINT(67.009311490608 24.936667647778)"
206;"0101000020E610000031E938272CC2504045D3D053D9E93840";12;"Nazimabad";"Estimate";"2012-11-28 19:00:00";"Shooting";"";"F";6;"";1;1;0;"POINT(67.033944898202 24.913472403033)"
207;"0101000020E610000031E938AF95C150402D479A6A90E53840";12;"Gulbahar";"Estimate";"2012-11-28 20:00:00";"Shooting";"";"F";6;"";1;1;0;"POINT(67.024761014535 24.896734869638)"
208;"0101000020E61000000AE938DFECC1504069119BA094E63840";9;"Rizvia";"Estimate";"2012-11-28 20:00:00";"Riot";"";"F";6;"";0;0;0;"POINT(67.03008251722 24.900705373629)"
209;"0101000020E610000036E9385F2AC850404C9C5E3D67EB3840";12;"Gulistan-e-Johar";"Estimate";"2012-11-28 20:00:00";"Shooting";"";"F";6;"";1;1;0;"POINT(67.12758617933 24.919544063185)"
210;"0101000020E61000002BE938FFECBF50400F3228C7DFED3840";12;"SITE, Frontier Morr";"Estimate";"2012-11-28 21:00:00";"Shooting";"";"F";6;"";2;0;2;"POINT(66.998840146615 24.929195830644)"
211;"0101000020E610000051E938DFBCC450402D25684545D73840";12;"Akhtar Colony";"Estimate";"2012-11-28 22:00:00";"Shooting";"";"F";6;"";2;0;2;"POINT(67.074027829721 24.840900743414)"
212;"0101000020E610000000E9386F14BF504010B897B06BF13840";12;"Orangi";"Estimate";"2012-11-28 23:00:00";"Shooting";"";"F";6;"";2;0;2;"POINT(66.985622220589 24.943049466172)"
213;"0101000020E610000093A8013ECABC5040D15AE05DA6F03840";12;"Baldia Town";"Estimate";"2012-11-29 10:15:00";"Shooting";"";"F";6;"";1;1;0;"POINT(66.949843885059 24.940038554453)"
214;"0101000020E61000008AA8010A53C250408D84AD7B77F13840";12;"Katti Pahari, Sh.e.Noor Jahan";"Estimate";"2012-11-29 12:00:00";"Shooting";"";"F";6;"Heavy firing reported";0;0;0;"POINT(67.036318303699 24.94322941767)"
216;"0101000020E6100000EAC0918D53CC5040C82DFC513DDB3840";14;"Landhi, Manshera Colony";"Estimate";"2012-11-29 13:00:00";"Shooting";"";"F";6;"";4;4;0;"POINT(67.192599670732 24.856404422824)"
217;"0101000020E610000067B587FD64C3504023EAA4CBEFD83840";12;"Hazara Colony";"Estimate";"2012-11-29 14:15:00";"Shooting";"";"F";6;"";1;0;1;"POINT(67.053038961914 24.847408988726)"
218;"0101000020E610000090B587ADCFC65040C82DC78826EF3840";12;"Gulshan-e-Iqbal";"Estimate";"2012-11-29 15:00:00";"Shooting";"";"F";6;"";2;2;0;"POINT(67.106425650147 24.934181736591)"
219;"0101000020E610000091B587152BC7504024DC641E96ED3840";9;"University Rd";"Accurate";"2012-11-29 20:00:00";"Riot";"";"F";1;"";0;0;0;"POINT(67.112004644898 24.928071879982)"
220;"0101000020E610000047E938AB45CA50404BEBBD46BEF03840";9;"Safora Goth";"Estimate";"2012-11-29 22:00:00";"Riot";"";"F";6;"Bus set on fire";0;0;0;"POINT(67.160502248361 24.940403386466)"
221;"0101000020E6100000EAE83873DCC55040FBDD5278BAEC3840";9;"Gulshan Chowrangi";"Estimate";"2012-11-29 21:00:00";"Riot";"";"F";6;"Bus set on fire";0;0;0;"POINT(67.091580205513 24.924720306617)"
222;"0101000020E6100000F18A3155BEC6504058C9977C48EF3840";12;"Gulshan-e-Iqbal, Maskan Chowrangi";"Estimate";"2012-11-29 23:00:00";"Shooting";"";"F";6;"";1;0;1;"POINT(67.105366991407 24.934699809129)"
223;"0101000020E6100000358B31FDE9C55040520E182874EC3840";12;"Gulshan Chowrangi";"Estimate";"2012-11-29 23:00:00";"Shooting";"";"F";6;"";0;0;0;"POINT(67.092406557448 24.923647409318)"
224;"0101000020E6100000D623F2617FCF433F2C6C544AD7462D3F";9;"National Highway";"Estimate";"2012-11-29 21:00:00";"Riot";"";"F";6;"2x trucks on fire";0;0;0;"POINT(0.00060456962445798 0.00022336366706885)"
225;"0101000020E6100000101B8138C6D150403EA78F5B47D43840";12;"Bhains Colony";"Estimate";"2012-11-29 23:15:00";"Shooting";"";"F";6;"";1;0;1;"POINT(67.277723432617 24.829213831493)"
226;"0101000020E6100000298CE9D3D3BF5040E77D97109CF03840";4;"Orangi Town";"Estimate";"2012-11-29 20:00:00";"Handgrenade attack";"";"F";6;"";0;0;0;"POINT(66.997303941797 24.93988136004)"
227;"0101000020E6100000F48BE9D33EBE504073A6E83175EE3840";12;"Baldia Town";"Estimate";"2012-11-30 02:00:00";"Shooting";"";"F";6;"";1;1;0;"POINT(66.972584703515 24.931475753116)"
228;"0101000020E6100000C18BE9C3D6BD50402F2BD70AEBE83840";12;"Saeedabad, Mawach Goth";"Estimate";"2012-11-30 02:00:00";"Shooting";"";"F";6;"";1;1;0;"POINT(66.966233232567 24.909836461574)"
230;"0101000020E6100000E78BE9CF8CBF5040D925AFBFE1E73840";12;"SITE";"Estimate";"2012-11-30 08:00:00";"Shooting";"";"F";6;"";1;1;0;"POINT(66.992969492028 24.905788402806)"
231;"0101000020E6100000F88BE9DFE6BE5040EAE5C213A8E33840";9;"Shershah, National HW";"Estimate";"2012-11-30 07:30:00";"Riot";"";"F";1;"Roads blocked; shooting reported";0;0;0;"POINT(66.982841470788 24.889283404429)"
233;"0101000020E6100000A88BE9E790C15040F902CFEC13F13840";14;"Qasba Colony";"Estimate";"2012-11-30 09:30:00";"Shooting";"";"F";6;"MQM activist";1;0;1;"POINT(67.024469354698 24.941710281887)"
234;"0101000020E61000009694F3CBFEC95040A0795C24ECE13840";12;"Shah Faisal Colony";"Estimate";"2012-11-30 09:45:00";"Shooting";"";"F";6;"";2;1;1;"POINT(67.156176555511 24.882509491517)"
235;"0101000020E6100000DD8BE9AB34C350400EDCADB95ED93840";12;"Kala Pull";"Estimate";"2012-11-30 11:00:00";"Shooting";"";"F";6;"";1;0;1;"POINT(67.050089815209 24.849101643511)"
236;"0101000020E6100000F98BE993FAC95040EFA8CE6823E33840";12;"Star Gate";"Estimate";"2012-11-30 08:00:00";"Shooting";"";"F";1;"";1;1;0;"POINT(67.155919054101 24.887259054617)"
229;"0101000020E61000006791F3A3E1C350404B994D1697DF3840";14;"PECH, Tariq Rd";"Estimate";"2012-11-30 07:30:00";"Shooting";"";"F";6;"";2;1;1;"POINT(67.060646999225 24.873399156518)"
237;"0101000020E6100000078CE9C362C85040D223E8FB3EEC3840";12;"Gulistan-e-Johar";"Estimate";"2012-11-30 11:15:00";"Shooting";"";"F";6;"";1;1;0;"POINT(67.131028154443 24.922836059737)"
239;"0101000020E6100000B88CE9B3D9BB50408B31697D12F53840";12;"Yousuf Goth";"Estimate";"2012-11-30 13:30:00";"Shooting";"";"F";6;"";2;2;0;"POINT(66.935162523342 24.957313383276)"
238;"0101000020E6100000A290F35B67C2504051BBA42E9CF53840";14;"Manghopir";"Estimate";"2012-11-30 12:15:00";"Shooting";"";"F";6;"";1;1;0;"POINT(67.037558544022 24.959414401262)"
240;"0101000020E6100000D38CE92395CC5040720842B487E53840";12;"Malir";"Estimate";"2012-11-30 15:30:00";"Shooting";"";"F";1;"";3;0;3;"POINT(67.196602800442 24.896601930734)"
